Mon	Year	NAO
May	1734	-0.28
Jun	1734	-1.24
Jul	1734	-0.63
Aug	1734	-0.53
Sep	1734	-0.37
Oct	1734	0.58
Nov	1734	-1.28
Dec	1734	-0.06
Jan	1735	1.49
Feb	1735	0.94
Mar	1735	0.98
Apr	1735	0.47
May	1735	0.71
Jun	1735	-0.49
Jul	1735	0.26
Aug	1735	-0.18
Sep	1735	0.93
Oct	1735	-1
Nov	1735	-0.83
Dec	1735	0.08
Jan	1736	1.04
Feb	1736	-0.29
Mar	1736	-0.85
Apr	1736	-0.07
May	1736	-0.63
Jun	1736	-0.41
Jul	1736	0.66
Aug	1736	0.4
Sep	1736	-0.9
Oct	1736	0.03
Nov	1736	0.5
Dec	1736	1.86
Jan	1737	1.87
Feb	1737	1.05
Mar	1737	1.11
Apr	1737	-0.49
May	1737	0.56
Jun	1737	-0.37
Jul	1737	0.41
Aug	1737	1.49
Sep	1737	1.61
Oct	1737	0.82
Nov	1737	-0.24
Dec	1737	0.41
Jan	1738	0.77
Feb	1738	0.51
Mar	1738	0.67
Apr	1738	0.93
May	1738	0.13
Jun	1738	0.22
Jul	1738	0.78
Aug	1738	2.84
Sep	1738	1.06
Oct	1738	1.85
Nov	1738	-1.4
Dec	1738	0.57
Jan	1739	-0.17
Feb	1739	0.73
Mar	1739	1.36
Apr	1739	-1.35
May	1739	-0.64
Jun	1739	-0.57
Jul	1739	0.17
Aug	1739	0.55
Sep	1739	1.05
Oct	1739	-1.27
Nov	1739	-1.47
Dec	1739	1.56
Jan	1740	-2.38
Feb	1740	-1.14
Mar	1740	-0.38
Apr	1740	-0.55
May	1740	-1.46
Jun	1740	-0.13
Jul	1740	-0.16
Aug	1740	0.09
Sep	1740	2.04
Oct	1740	-1.88
Nov	1740	-0.93
Dec	1740	0.37
Jan	1741	-1.54
Feb	1741	0.98
Mar	1741	-0.94
Apr	1741	-1.1
May	1741	-0.74
Jun	1741	-0.27
Jul	1741	-0.95
Aug	1741	0.2
Sep	1741	0.42
Oct	1741	0.96
Nov	1741	1.13
Dec	1741	0.08
Jan	1742	-0.78
Feb	1742	1.19
Mar	1742	-1.08
Apr	1742	-1.52
May	1742	-1.32
Jun	1742	-1.59
Jul	1742	0.46
Aug	1742	-0.61
Sep	1742	-0.99
Oct	1742	0.64
Nov	1742	0.95
Dec	1742	-2.48
Jan	1743	1.09
Feb	1743	1.32
Mar	1743	0.48
Apr	1743	0.44
May	1743	0.18
Jun	1743	0.91
