year	period	no.ice	doy	enso	co2	sunspots	air.t.as	aod	reff
1720	1	NA	NA	1.266	276.7225	28	14.768	0.005	0.2
1721	1	NA	NA	-0.157	276.8188	26	15.271	0.001	0.2
1722	1	NA	NA	-1.111	276.9217	22	15.066	0	0.2
1723	1	NA	NA	0.792	277.0314	11	15.261	0.003	0.2
1724	1	1	NA	-1.114	277.1473	21	15.02	0.001	0.2
1725	1	NA	NA	-0.896	277.2665	40	14.75	0	0.2
1726	1	NA	NA	2.162	277.3854	78	14.099	0	0.2
1727	1	NA	NA	1.563	277.5002	122	14.648	0	0.2
1728	1	NA	NA	-0.622	277.6075	103	14.461	0	0.2
1729	1	NA	NA	-1.697	277.7036	73	15.038	0	0.2
1730	1	NA	NA	-0.463	277.7849	47	14.331	0	0.2
1731	1	NA	NA	0.024	277.8477	35	14.582	0.024	0.29
1732	1	NA	NA	1.358	277.8885	11	14.582	0.008	0.2
1733	1	NA	NA	-1.15	277.9036	5	14.685	0.002	0.2
1734	1	1	NA	1.53	277.8894	16	14.378	0	0.2
1735	1	NA	NA	-1.377	277.8438	34	14.368	0	0.2
1736	1	NA	NA	-0.673	277.7705	70	14.703	0	0.2
1737	1	1	NA	0.244	277.6747	81	13.81	0	0.2
1738	1	NA	NA	1.347	277.5617	111	14.387	0	0.2
1739	1	1	NA	-0.899	277.4368	101	14.48	0.017	0.26
1740	1	NA	NA	0.624	277.305	73	13.773	0.035	0.33
1741	1	0	-15	0.35	277.1717	40	14.899	0.008	0.2
1742	1	NA	NA	-1.597	277.0421	20	15.336	0.002	0.2
1743	1	NA	NA	0.06	276.9214	16	14.899	0	0.2
1744	1	NA	NA	-0.881	276.8137	5	14.982	0	0.2
1745	1	NA	NA	0.074	276.7192	11	15.541	0	0.2
1746	1	0	-23	2.484	276.6366	22	14.173	0	0.2
1747	1	0	-4	2.368	276.5649	40	13.866	0.005	0.2
1748	1	0	-18	-3.669	276.503	60	15.448	0.001	0.2
1749	1	0	-8	0.94	276.4499	80.9	13.95	0	0.2
1750	1	0	-29	0.162	276.4045	83.4	14.406	0	0.2
1751	1	0	-33	0.842	276.3656	47.7	15.131	0	0.2
1752	1	0	-24	-1.977	276.3323	47.8	14.452	0	0.2
1753	1	NA	NA	0.185	276.3037	30.7	14.573	0	0.2
1754	1	0	1	0.696	276.2805	12.2	15.41	0	0.2
1755	1	0	-30	-0.017	276.2633	9.6	13.727	0	0.2
1756	1	0	-26	-0.52	276.2532	10.2	14.554	0	0.2
1757	1	NA	NA	-1.306	276.251	32.4	14.154	0	0.2
1758	1	0	-15	0.894	276.2574	47.6	14.694	0	0.2
1759	1	1	NA	0.316	276.2734	54	14.238	0	0.2
